Candidate,County,Number of Votes,Ten Percent of Vote,Tweet List
clinton,Taylor,70%,Y,
clinton,Union,46%,Y,
clinton,Van Buren,47%,Y,
clinton,Wapello,55%,Y,"['Merrell32: #imwithher #iowaforhillary canvassing for Hillary! hillaryclinton #hillyes #hillary2016 @ https://t.co/Do4m9nV2VJ\n', 'Merrell32: #imwithher #iowaforhillary canvassing for Hillary! hillaryclinton #hillyes #hillary2016 @ https://t.co/Do4m9nV2VJ\n', 'Merrell32: #iowacaucus #caucusingforhillary #hillyes #imwithher #hillary2016 hillaryclinton @ Ottumwa, Iowa https://t.co/MI2i6ZhOIJ\n', 'RealMarkNewman: ""@Hillary4Florida: BREAKING: MSNBC host #DemDebate in New Hampshire Thurs! #ImWithHer #Hillary2016 #UniteBlue"" HEY! Focus on Iowa 1st!\n', 'RealMarkNewman: ""@Hillary4Florida: BREAKING: MSNBC host #DemDebate in New Hampshire Thurs! #ImWithHer #Hillary2016 #UniteBlue"" HEY! Focus on Iowa 1st!\n', 'RealMarkNewman: @tullylawfirm @Hillary4Florida Feels like a looong  15 seconds.\n']"
clinton,Warren,55%,Y,
clinton,Washington,54%,Y,
clinton,Wayne,65%,Y,
clinton,Webster,54%,Y,
clinton,Winnebago,42%,Y,
clinton,Winneshiek,44%,Y,
clinton,Woodbury,46%,Y,
clinton,Worth,45%,Y,
clinton,Wright,55%,Y,
trump,Adair,26%,Y,
trump,Adams,25%,Y,
trump,Allamakee,28%,Y,
trump,Appanoose,35%,Y,
trump,Audubon,26%,Y,
trump,Benton,25%,Y,
trump,Black Hawk,23%,Y,['dadiniowa: #DonaldTrump is a #FuckWhistle!\n\n#RacismSucks\n#HateWontWin\n#GOP\n#Republicans\n#USA\n#IowaCaucus\n#NHpolitics https://t.co/fn7lUilNtu\n']
trump,Boone,23%,Y,
trump,Bremer,23%,Y,
trump,Buchanan,26%,Y,
trump,Buena Vista,25%,Y,
trump,Butler,24%,Y,
trump,Calhoun,24%,Y,
trump,Carroll,29%,Y,
trump,Cass,28%,Y,
trump,Cedar,26%,Y,
trump,Cerro Gordo,26%,Y,
trump,Cherokee,30%,Y,
trump,Chickasaw,28%,Y,
trump,Clarke,36%,Y,
trump,Clay,29%,Y,
trump,Clayton,29%,Y,
trump,Clinton,31%,Y,
trump,Crawford,31%,Y,
trump,Dallas,21%,Y,
trump,Davis,39%,Y,
trump,Decatur,26%,Y,
trump,Delaware,22%,Y,
trump,Des Moines,30%,Y,
trump,Dickinson,28%,Y,
trump,Dubuque,27%,Y,"['Philip_Elliott: Awaiting Mr. Trump in Dubuque, Iowa. @ Dubuque Airport https://t.co/TeLoaLgX2h\n']"
trump,Emmet,30%,Y,
trump,Fayette,24%,Y,
trump,Floyd,26%,Y,
trump,Franklin,25%,Y,
trump,Fremont,43%,Y,
trump,Greene,30%,Y,
trump,Grundy,21%,Y,
trump,Guthrie,28%,Y,
trump,Hamilton,28%,Y,
trump,Hancock,19%,Y,
trump,Hardin,23%,Y,
trump,Harrison,31%,Y,
trump,Henry,23%,Y,
trump,Howard,31%,Y,
trump,Humboldt,34%,Y,
trump,Ida,26%,Y,
trump,Iowa,24%,Y,
trump,Jackson,33%,Y,
trump,Jasper,25%,Y,
trump,Jefferson,26%,Y,
trump,Johnson,19%,Y,"['andybrodie: She: Martini. He: Beer. #dinnerfortwo #drinks @ Trumpet Blossom Cafe https://t.co/1mJiqJSomU\n', ""Ryan_Hofmann1: Rubio, Carson, Clinton, Bush, and Trump's events thus far in Iowa #app2iowa #iowa #iowacaucus https://t.co/2S4FCbo9bo\n"", ""Ryan_Hofmann1: Rubio, Carson, Clinton, Bush, and Trump's events thus far in Iowa #app2iowa #iowa #iowacaucus https://t.co/2S4FCbo9bo\n"", ""Ryan_Hofmann1: Rubio, Carson, Clinton, Bush, and Trump's events thus far in Iowa #app2iowa #iowa #iowacaucus https://t.co/2S4FCbo9bo\n""]"
trump,Jones,25%,Y,
trump,Keokuk,31%,Y,
trump,Kossuth,24%,Y,
trump,Lee,31%,Y,
trump,Linn,20%,Y,
trump,Louisa,36%,Y,
trump,Lucas,27%,Y,
trump,Lyon,16%,Y,
trump,Madison,28%,Y,
trump,Mahaska,21%,Y,
trump,Marion,19%,Y,
trump,Marshall,26%,Y,
trump,Mills,27%,Y,
trump,Mitchell,25%,Y,
trump,Monona,30%,Y,
trump,Monroe,31%,Y,
trump,Montgomery,21%,Y,
trump,Muscatine,30%,Y,
trump,O'Brien,21%,Y,
trump,Osceola,24%,Y,
trump,Page,27%,Y,
trump,Palo Alto,27%,Y,
trump,Plymouth,33%,Y,
trump,Pocahontas,23%,Y,
